run_name,hidden_size,lr,weight_decay,seq_max_len,batch_size,dropout,seed
gru_h32_lr1e-3_wd1e-3_len256_bs32_do0_s101,32,0.001,0.001,256,32,0.0,101
gru_h32_lr1e-3_wd1e-3_len256_bs32_do01_s101,32,0.001,0.001,256,32,0.1,101
gru_h32_lr1e-3_wd1e-3_len256_bs32_do02_s101,32,0.001,0.001,256,32,0.2,101
gru_h32_lr5e-4_wd1e-3_len256_bs32_do01_s101,32,0.0005,0.001,256,32,0.1,101
gru_h64_lr1e-3_wd1e-3_len256_bs32_do0_s101,64,0.001,0.001,256,32,0.0,101
gru_h64_lr1e-3_wd1e-3_len256_bs32_do01_s101,64,0.001,0.001,256,32,0.1,101
gru_h64_lr1e-3_wd1e-3_len256_bs32_do02_s101,64,0.001,0.001,256,32,0.2,101
gru_h64_lr5e-4_wd1e-3_len256_bs32_do01_s101,64,0.0005,0.001,256,32,0.1,101
gru_h32_lr1e-3_wd1e-3_len256_bs16_do01_s101,32,0.001,0.001,256,16,0.1,101
gru_h64_lr1e-3_wd1e-3_len256_bs16_do01_s101,64,0.001,0.001,256,16,0.1,101
gru_h32_lr2e-3_wd1e-3_len256_bs32_do01_s101,32,0.002,0.001,256,32,0.1,101
gru_h64_lr2e-3_wd1e-3_len256_bs32_do01_s101,64,0.002,0.001,256,32,0.1,101
